字段所属分组	字段名称	字段类型	字段来源	字段说明/描述
单据信息	单号	文本	编码规则待确认	退货单唯一标识；生成规则待确认。
单据信息	单据日期	日期	手工录入	本单业务日期；默认值和可否修改待确认。
单据信息	供应商	关联选择	供应商资料	一张退货单只对应一个供应商；只能选择审核通过且启用的供应商。
单据信息	币别	关联选择	辅助资料／币别	本单交易币别。
单据信息	金额合计	金额	系统计算	按商品明细金额汇总；是否另计不含税金额和税额、精度和尾差待确认。
单据信息	出库仓库	关联选择	仓库资料	一张退货单只有一个出库仓库；具体指向实体仓还是逻辑仓待确认，出库需要按逻辑仓记账。
单据信息	退货截止时间	日期时间	手工录入	到期未退部分按规则自动关闭；截止时间可否调整及宽限期待确认。
单据信息	来源采购入库单	关联选择	采购入库单	可选关联；关联时带出原入库商品、数量和价格，也可以无来源手工创建。
单据信息	备注	多行文本	手工录入	补充说明。
商品明细	行号	数值	系统记录	明细行顺序号。
商品明细	商品	关联选择	商品资料	选择要退回的成品 SKU；有来源时由原入库明细带出。
商品明细	基本单位	关联选择	商品资料	按所选商品实时带出；与商品名称一起在明细展示，作为数量的计量口径，不单独维护。
商品明细	来源入库单行	关联明细	采购入库单	有来源时关联原入库明细，带出数量和原入库价格；无来源时留空。
商品明细	退货数量	数值	手工录入	以基本单位计量；审核后固定；可退上限和重复退货约束待确认。
商品明细	含税单价	金额	手工录入或来源带出	有来源时带出原入库含税价格；缺价或没有来源时可以手工填写，也可以查询当前采购价快速填入；草稿可改，提交后锁定。
商品明细	税率	数值	手工录入或来源带出	有来源时带出原入库税率；缺价或没有来源时手工填写，查询当前采购价时一并带入；提交后锁定；取值和精度待确认。
商品明细	不含税单价	金额	系统计算	按含税单价和税率自动计算；精度和尾差处理待确认。
商品明细	金额	金额	系统计算	本行含税金额，按数量与含税单价计算；是否另存不含税金额和税额待确认。
商品明细	累计实出数量	数值	系统回写	由已审核采退出库单按来源行回写的累计实际出库数量。
商品明细	通知占用数量	数值	系统计算	未结束的采退发货通知单占用的数量。
商品明细	可下推数量	数值	系统计算	退货数量减已结束通知的实际出库数量，再减未结束通知的通知数量。
状态信息	审核状态	枚举	流程更新	草稿、待审核、已审核；审核时占用可用库存，可用量不足不能审核。
状态信息	业务状态	枚举	人工维护或系统更新	正常、已取消、已关闭；关闭释放未下推预占，不能反关单，取消与关闭都不可撤销。
终止信息	关闭方式	枚举	人工关闭或系统自动	手动关闭、到期自动关闭；未关闭时留空。
终止信息	关闭原因	文本	手工录入或系统记录	手工关闭时填写；到期自动关闭记录触发条件，具体口径待确认。
终止信息	关闭时间	日期时间	系统记录	关闭操作发生的时间；未关闭时留空。
终止信息	关闭操作人	文本	系统记录	手工关闭记录操作人，到期自动关闭记录系统；未关闭时留空。
终止信息	取消原因	文本	手工录入	整单取消时填写。
终止信息	取消时间	日期时间	系统记录	取消操作发生的时间；未取消时留空。
终止信息	取消操作人	用户引用	系统记录	执行取消操作的人员；未取消时留空。
审核信息	审核人	用户引用	系统记录	最近一次完成审核通过或退回的人员。
审核信息	审核时间	日期时间	系统记录	最近一次审核操作的时间。
审核信息	退回意见	多行文本	人工录入	审核退回时填写并保留；退回后回到草稿。
系统信息	创建人	用户引用	系统记录	建单人员。
系统信息	创建时间	日期时间	系统记录	建单时间。
系统信息	更新人	用户引用	系统记录	最近修改人员。
系统信息	更新时间	日期时间	系统记录	最近修改时间。
